GEOID,ntl
48201522401,-0.4764022760895812
48201522402,-0.5695442645185916
48201522500,-0.2313896185664424
48201530100,-0.12750834124192054
48201530200,0.22469689705286197
48201530300,-0.7139387397743597
48201530400,-0.5695475160781549
48201530500,-0.4962562516561991
48201530600,-0.24479340984879072
48201530700,-0.20612828407168418
48201530800,0.03276257873655588
48201530900,0.16225949390241678
48201531000,0.3002926782223914
48201531100,0.3152584241138533
48201531200,0.8139989336072735
48201531300,0.4595226916683064
48201531500,-0.482225608470584
48201531600,-0.3301070873484898
48201531700,0.12147643432170198
48201531800,-0.653126198621762
48201531900,-0.7888872494236239
48201532001,-0.8923550407513171
48201532002,-0.8418953275342526
48201532100,-0.8237532707277152
48201532200,-0.8881855142576788
48201532300,-0.8442701610240396
48201532400,-0.8045084799540798
48201532501,-0.5696814757391074
48201532502,-0.7878913984772687
48201532600,-0.8436922802592267
48201532700,-0.8275054656037386
48201532800,-0.8858687453653777
48201532900,-0.875358472805857
48201533000,-0.7480187522419522
48201533100,-0.7715840731733832
48201533200,-0.7914815762118258
48201533300,0.03448427470678564
48201533400,-0.7272865945145109
48201533500,-0.3102118478320312
48201533600,-0.8098859546722013
48201533701,-0.6804363582354275
48201533702,-0.8466210784548555
48201533801,-0.7657784247790369
48201533802,-0.348454927373273
48201533901,-0.41523373634889144
48201533902,-0.3907233295111803
48201534001,-0.8795086335637885
48201534002,-0.7960178077421242
48201534003,-0.47308424255024817
48201534100,0.054421457353723064
48201534201,0.33748359308262127
48201534202,0.0768989752395996
48201534203,-0.8442235848198337
48201540100,-0.5613784788076379
48201540200,-0.1137582789129012
48201540501,-0.9566848018365691
48201540502,-0.8334791623701796
48201540601,-0.869888581454839
48201540602,-0.8157193472225105
48201540700,0.04422763735998044
48201540800,-0.39358196734245054
48201540901,-0.6939102116465071
48201540902,-0.45417567249835067
48201541001,0.5084373563988508
48201541002,0.11016702306610177
48201541003,-0.17735760635953138
48201541100,-0.4368015574332677
48201541201,-0.7922760275960756
48201541202,-0.85179610046492
48201541203,-0.8757952510637319
48201541300,-0.8047321843943778
48201541400,-0.9095291334789235
48201541500,-0.8378755531556489
48201541601,-0.8931850351108382
48201541602,-0.866983162484261
48201541700,-0.8398409389469702
48201541800,-0.28863570478147044
48201541900,-0.8746794286517556
48201542000,-0.8950068899714886
48201542101,-0.7600249285900739
48201542102,-0.8683281040660745
48201542200,-0.8780243068320638
48201542301,-0.8888360557129821
48201542302,-0.8227741375674386
48201542400,-0.16685958080594257
48201542500,-0.5887890358255268
48201542600,0.05601775898939874
48201542700,0.3008784826597936
48201542800,-0.6000129530475617
48201542900,-0.7905939625476898
48201543001,-0.12196404360049562
48201543002,-0.3275161251063738
48201543003,-0.9156854326526972
48201543100,-0.06154323668954246
48201543200,-0.5205682183529695
48201550100,-0.5677327192230343
48201550200,-0.01575112775964486
48201550301,-0.7975592911102578
48201550302,0.006629046014673125
48201550401,0.26790989190750236
48201550402,-0.11075560214262135
48201550500,-0.2591688702819985
48201550601,-0.12040824209731067
48201550602,-0.6204200624615435
48201550603,-0.23451250782094277
48201550700,-0.24708949901182073
48201550800,-0.1284171612297444
48201550900,0.753826287053745
48201551000,0.9324575497052058
48201551100,0.5205742574921642
48201551200,0.6348114867814769
48201551300,0.11662388265701172
48201551400,-0.22779308057787684
48201551500,-0.2955031522461908
48201551600,-0.35499202078597186
48201551701,-0.1571428220489793
48201551702,-0.16446460059587492
48201551703,-0.026450142052741654
48201551800,-0.29566045306280986
48201551900,-0.5930906830282251
48201552001,-0.1333126245357216
48201552002,0.2397518576801784
48201552101,0.9717699010993245
48201552102,-0.3746398746397018
48201552103,-0.43525012591904727
48201552200,0.14332814730317564
48201552301,-0.005365779099386226
48201552302,-0.5863927231072886
48201552400,-0.4830398723771186
48201552500,-0.23512461795936354
48201552601,-0.2855913083385368
48201552602,0.8086749860929311
48201552700,0.64564031735401
48201552800,-0.06131007702104873
48201552900,0.4854687286587571
48201553001,0.5669080045908985
48201553002,0.39995095438938183
48201553100,0.9014872839467695
48201553200,0.5975486187560521
48201553300,0.4471835021179807
48201553401,-0.2109131680845891
48201553402,-0.23790113897699547
48201553403,0.06224187449992599
48201553500,0.8409302263436955
48201553600,0.5228987055347937
48201553700,0.14938006916102056
48201553801,0.6385608179860939
48201553802,0.9939548190945502
48201553900,0.7263525972930325
48201554001,0.7571017786190893
48201554002,0.39247620126511784
48201554101,0.7250250723308677
48201554102,0.9087172101964096
48201554200,0.4899107130757939
48201554301,0.20010096232015034
48201554302,-0.5172472848440192
48201554401,-0.28964743830931755
48201554402,-0.05217966728083108
48201554403,0.06333337166843313
48201554501,-0.3899065857167161
48201554502,-0.4546558768928771
48201554600,-0.6284448449876279
48201554700,0.3934481954712904
48201554801,0.8309924589747344
48201554802,0.3638499748346328
48201554901,-0.4052016999312153
48201554902,-0.3282256932192134
48201554903,0.2430788297709194
48201555000,0.0982252731695041
48201555100,-0.7009858137049819
48201555200,0.032113582095794804
48201555301,-0.17023900177870457
48201555302,-0.5762387973107066
48201555303,-0.7437608935172947
48201555401,-0.4795358609713399
48201555402,-0.17190463176784904
48201555501,0.11634269350654894
48201555502,0.4820759085682495
48201555600,0.27242506142312256
48201555701,-0.17337134862728448
48201555702,-0.7935363818677174
48201556000,-0.21731491988844975
